               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.028229,            0.013603,            0.005024,             0.67133,             0.63005,             0.64614,             0.35835,            0.035743,            0.014553,            0.020767,            0.002872,            0.002872,            0.002872
                  38,            0.028436,            0.013042,           0.0049041,             0.60625,             0.68528,             0.62383,             0.35431,            0.035011,            0.015047,            0.022162,            0.002674,            0.002674,            0.002674
                  39,            0.028412,            0.013793,           0.0037763,             0.60316,             0.68652,             0.62909,             0.35868,            0.034994,            0.014965,            0.022256,            0.002476,            0.002476,            0.002476
                  40,             0.02796,            0.011962,           0.0037509,             0.56867,             0.72476,             0.60588,             0.34734,            0.035061,            0.015293,            0.023273,            0.002278,            0.002278,            0.002278
                  41,            0.026645,            0.012655,           0.0040057,              0.5035,             0.71733,             0.59109,             0.32772,            0.034481,            0.015138,            0.026568,             0.00208,             0.00208,             0.00208
                  42,            0.026476,            0.012931,           0.0037025,             0.60317,             0.62059,             0.61706,             0.33881,            0.034657,            0.015073,            0.025566,            0.001882,            0.001882,            0.001882
                  43,            0.026277,            0.013501,           0.0027261,             0.59033,             0.69357,             0.63044,             0.34838,            0.034324,            0.014902,            0.023801,            0.001684,            0.001684,            0.001684
                  44,            0.027527,            0.013077,           0.0041333,             0.63398,             0.70176,             0.65167,             0.36931,            0.033959,            0.014575,            0.022966,            0.001486,            0.001486,            0.001486
                  45,            0.026981,            0.015128,           0.0039935,             0.62664,             0.70391,             0.63406,             0.36623,            0.033824,            0.014571,            0.023571,            0.001288,            0.001288,            0.001288
                  46,            0.026196,            0.013513,           0.0037741,             0.64147,             0.69724,             0.62554,              0.3559,            0.034249,            0.014826,            0.022751,             0.00109,             0.00109,             0.00109
                  47,            0.027659,            0.014192,           0.0062185,             0.61709,             0.71187,             0.62128,             0.36423,            0.033757,            0.015022,            0.022047,            0.000892,            0.000892,            0.000892
                  48,            0.026879,             0.01403,           0.0031337,             0.60472,             0.73435,             0.62254,             0.35396,            0.033728,            0.014839,            0.022316,            0.000694,            0.000694,            0.000694
                  49,            0.026176,             0.01343,           0.0039918,             0.60693,             0.71712,             0.62424,                0.36,            0.033634,            0.014735,            0.022661,            0.000496,            0.000496,            0.000496
